cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
86310882,"[3-[(1R)-1-(Dimethylamino)ethyl]phenyl] N,N-dimethylcarbamate",ZINC13492194|AJ-63958,236.310,C13H20N2O2,32.800,254.000,1.900,17,0,3,4,AIHREYCBCYOMLZ-SNVBAGLBSA-N,"[3-[(1R)-1-(dimethylamino)ethyl]phenyl] N,N-dimethylcarbamate",NULL,,,NULL,20150105,NULL
86334041,[3-[(1R)-1-(Methylamino)ethyl]phenyl] N-ethyl-N-methylcarbamate,ZINC90411664|AJ-128651,236.310,C13H20N2O2,41.600,246.000,NULL,17,1,3,5,DKTHTUMLVSBQTJ-SNVBAGLBSA-N,[3-[(1R)-1-(methylamino)ethyl]phenyl] N-ethyl-N-methylcarbamate,NULL,,,NULL,20150105,NULL
86346228,[3-[(1S)-1-(Dimethylamino)ethyl]phenyl] N-ethyl-N-methylcarbamate;oxalic acid,Rivastigmine oxalate,340.370,C16H24N2O6,107.000,340.000,NULL,24,2,7,6,FXHKRHUSDQQARN-MERQFXBCSA-N,[3-[(1S)-1-(dimethylamino)ethyl]phenyl] N-ethyl-N-methylcarbamate;oxalic acid,NULL,,,NULL,20150112,NULL
86712425,[(1S)-1-[3-[Ethyl(methyl)carbamoyl]oxyphenyl]ethyl]-dimethyl-[(1S)-1-phenylethyl]azanium;iodide,"SCHEMBL15513897|MDGNYSXEOZLWIZ-APTPAJQOSA-M|(S)-1-(3-(ethyl(methyl)carbamoyloxy)phenyl)-N,N-dimethyl-N-((S)-1-phenylethyl)ethanaminium iodide",482.400,C22H31IN2O2,29.500,445.000,NULL,27,0,3,7,MDGNYSXEOZLWIZ-APTPAJQOSA-M,[(1S)-1-[3-[ethyl(methyl)carbamoyl]oxyphenyl]ethyl]-dimethyl-[(1S)-1-phenylethyl]azanium;iodide,NULL,1040,2,NULL,20150202,NULL
86712426,[(1S)-1-[3-[Ethyl(methyl)carbamoyl]oxyphenyl]ethyl]-dimethyl-[(1S)-1-phenylethyl]azanium,SCHEMBL15501598,355.500,C22H31N2O2+,29.500,445.000,NULL,26,0,2,7,BXNUVSUPKPHCKY-ROUUACIJSA-N,[(1S)-1-[3-[ethyl(methyl)carbamoyl]oxyphenyl]ethyl]-dimethyl-[(1S)-1-phenylethyl]azanium,NULL,1040,2,NULL,20150202,NULL
88258413,[3-[1-(Dimethylamino)ethyl]phenyl] N-methoxy-N-methylcarbamate,SCHEMBL8165880,252.310,C13H20N2O3,42.000,271.000,NULL,18,0,4,5,VHDJEWUEGRDTHQ-UHFFFAOYSA-N,[3-[1-(dimethylamino)ethyl]phenyl] N-methoxy-N-methylcarbamate,NULL,1024,1,NULL,20150212,NULL
88259049,"[3-[1-(Dimethylamino)ethyl]phenyl] N,N-dimethoxycarbamate",SCHEMBL8169954,268.310,C13H20N2O4,51.200,282.000,NULL,19,0,5,6,PWUAAWWQZUNFHU-UHFFFAOYSA-N,"[3-[1-(dimethylamino)ethyl]phenyl] N,N-dimethoxycarbamate",NULL,1024,1,NULL,20150212,NULL
88259165,[3-[1-(Dimethylamino)ethyl]phenyl] N-ethyl-N-methoxycarbamate,SCHEMBL8170836,266.340,C14H22N2O3,42.000,284.000,NULL,19,0,4,6,VDZJDQJBMPTFHU-UHFFFAOYSA-N,[3-[1-(dimethylamino)ethyl]phenyl] N-ethyl-N-methoxycarbamate,NULL,1024,1,NULL,20150212,NULL
88431845,3-(Dimethylamino)-3-(3-methoxyphenyl)prop-1-en-1-one,SCHEMBL9235192,205.250,C12H15NO2,29.500,234.000,NULL,15,0,3,4,RTLPHORZGNOZMN-UHFFFAOYSA-N,3-(dimethylamino)-3-(3-methoxyphenyl)prop-1-en-1-one,NULL,1040,2,NULL,20150213,NULL
89029043,[3-[(1S)-1-(Methylamino)ethyl]phenyl] N-methyl-N-propylcarbamate,SCHEMBL13177181,250.340,C14H22N2O2,41.600,258.000,NULL,18,1,3,6,KWNJVWMOVYWWCI-NSHDSACASA-N,[3-[(1S)-1-(methylamino)ethyl]phenyl] N-methyl-N-propylcarbamate,NULL,1024,1,NULL,20150213,NULL
