cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
12501032,Fluorocyclohexatriene,NULL,95.090,C6H4F,0.000,52.100,2.300,7,0,1,0,KQKWISXNJLELMJ-UHFFFAOYSA-N,fluorocyclohexatriene,NULL,,,NULL,20070208,NULL
12501046,Phenylbromostannane,phenylbromostannane,275.720,C6H5BrSn,0.000,59.500,NULL,8,0,0,0,XRNJBDXMAMRTFZ-UHFFFAOYSA-M,bromo(phenyl)tin,NULL,256,1,NULL,20070208,10.1007/978-1-4899-7170-8_3
12525350,Lithiophenylphosphine,lithium phenylphosphide|SCHEMBL7512412|SCHEMBL19894638,116.100,C6H6LiP,0.000,50.500,NULL,8,0,1,0,VBIADRZOVMPJLN-UHFFFAOYSA-N,lithium;phenylphosphanide,NULL,1296,3,NULL,20070208,10.1007/0-306-47510-3_2|10.1007/s11172-007-0285-8
12553982,Phenyl tellurocyanate,SCHEMBL11035560,230.700,C7H5NTe,23.800,118.000,NULL,9,0,1,1,XDUNGHDCRUIPJF-UHFFFAOYSA-N,phenyl tellurocyanate,NULL,256,1,NULL,20070208,NULL
12557550,$l^{1}-Selanylbenzene;thallium,NULL,360.460,C6H5SeTl,0.000,50.500,NULL,8,0,0,0,GLDWWQDJLBMRES-UHFFFAOYSA-N,lambda1-selanylbenzene;thallium,NULL,256,1,NULL,20070208,NULL
12571847,Phenylselenolithium,NULL,163.000,C6H5LiSe,0.000,46.100,NULL,8,0,1,0,MCVYVDOOENCVBB-UHFFFAOYSA-M,lithium;benzeneselenolate,NULL,,,NULL,20070208,NULL
12591816,Dibromo(phenyl)stibane,NULL,358.670,C6H5Br2Sb,0.000,79.100,NULL,9,0,0,0,OUIYOIUXAQHPIX-UHFFFAOYSA-L,dibromo(phenyl)stibane,NULL,256,1,NULL,20070208,NULL
12634547,Methyl-phenyl-propan-2-yltin,NULL,253.940,C10H15Sn,0.000,103.000,NULL,11,0,0,2,VJHRUBSNPCUQKD-UHFFFAOYSA-N,methyl-phenyl-propan-2-yltin,NULL,,,NULL,20070208,NULL
12676994,Selanyliumylbenzene,NULL,156.070,C6H5Se+,0.000,46.100,NULL,7,0,0,0,CWNIWVGMLSIFSR-UHFFFAOYSA-N,selanyliumylbenzene,NULL,256,1,NULL,20070208,NULL
12697863,Dibromo(phenyl)germanium,NULL,309.540,C6H5Br2Ge,0.000,79.100,NULL,9,0,0,0,CXDNVIJLOLWPPD-UHFFFAOYSA-N,dibromo(phenyl)germanium,NULL,,,NULL,20070208,NULL
12697898,Bromo(phenyl)germanium,SCHEMBL10641681,229.640,C6H5BrGe,0.000,59.500,NULL,8,0,0,0,KCAOIDNJWQKARC-UHFFFAOYSA-N,bromo(phenyl)germanium,NULL,,,NULL,20070208,NULL
12707690,Dimethyl(phenyl)stibane,NULL,228.930,C8H11Sb,0.000,72.600,NULL,9,0,0,1,GYCLYZXFLRDZEM-UHFFFAOYSA-N,dimethyl(phenyl)stibane,NULL,,,NULL,20070208,NULL
12730986,Fluorocyclohexatriene,NULL,95.090,C6H4F,0.000,52.100,2.300,7,0,1,0,JRKVQTNRCFWYNG-UHFFFAOYSA-N,fluorocyclohexatriene,NULL,,,NULL,20070208,NULL
12738157,Lithium 1-(phenylselanyl)ethen-1-ide,"56529-37-4|CTK1E1822|DTXSID40508550|Lithium, [1-(phenylseleno)ethenyl]-|Lithium 1-(phenylselanyl)ethen-1-ide",189.100,C8H7LiSe,0.000,87.300,NULL,10,0,1,2,IRELUPIZYCGSGD-UHFFFAOYSA-N,lithium;ethenylselanylbenzene,NULL,512,1,NULL,20070208,NULL
12756775,(2-Phosphanidylphenyl)phosphanide,NULL,140.060,C6H6P2-2,0.000,62.900,NULL,8,0,2,0,BHWDRYGMECDQOB-UHFFFAOYSA-N,(2-phosphanidylphenyl)phosphanide,NULL,,,NULL,20070208,NULL
12824628,"(3E)-4-Phenylseleno-1,3-butadiene",NULL,209.160,C10H10Se,0.000,132.000,NULL,11,0,0,3,BUBLKKCDSMWPDX-YCRREMRBSA-N,"[(1E)-buta-1,3-dienyl]selanylbenzene",NULL,,,NULL,20070208,NULL
12841085,Lithium;ethenyltellanylbenzene,NULL,237.700,C8H7LiTe,0.000,87.300,NULL,10,0,1,2,CTZIGEXOQFBIJT-UHFFFAOYSA-N,lithium;ethenyltellanylbenzene,NULL,,,NULL,20070208,NULL
12841087,(Ethynyltellanyl)benzene,"65910-13-6|(Ethynyltellanyl)benzene|Benzene, (ethynyltelluro)-|CTK1I1385|DTXSID80511200",229.700,C8H6Te,0.000,114.000,NULL,9,0,0,2,HXKVMHYLARGTIO-UHFFFAOYSA-N,ethynyltellanylbenzene,NULL,768,2,NULL,20070208,NULL
12847104,CID 12847104,NULL,108.080,C6H5P-2,0.000,46.100,1.800,7,0,1,0,KOLVHIMTRZAANE-UHFFFAOYSA-N,NULL,NULL,,,NULL,20070208,NULL
12890881,(Tribromo-lambda4-selanyl)benzene,phenylselenium tribromide,395.800,C6H5Br3Se,0.000,104.000,NULL,10,0,0,0,ZRXSDOINUGMFST-UHFFFAOYSA-N,(tribromo-lambda4-selanyl)benzene,NULL,256,1,NULL,20070208,10.1007/BF00480769|10.1007/BF00506953
12937028,(4-Fluorophenyl)mercury(1+),NULL,295.690,C6H4FHg+,0.000,66.900,NULL,8,0,1,0,IDOVHSPKOWYBQC-UHFFFAOYSA-N,(4-fluorophenyl)mercury(1+),NULL,,,NULL,20070208,NULL
12971464,Phenylphosphanylidenetungsten,NULL,291.900,C6H5PW,0.000,76.600,NULL,8,0,0,0,OVMYVJKRNRBHDJ-UHFFFAOYSA-N,phenylphosphanylidenetungsten,NULL,,,NULL,20070208,NULL
13000141,"1,4-Dideuteriobenzene","Benzene-1,4-d2|p-dideuterobenzene|1684-46-4|AKOS015910447|I14-39821",80.120,C6H6,0.000,15.500,2.100,6,0,0,0,UHOVQNZJYSORNB-UPXKZQJYSA-N,"1,4-dideuteriobenzene",NULL,256,1,NULL,20070208,10.1007/978-1-4899-4938-7_15|10.1007/978-3-662-01665-7_20|10.1007/978-3-662-12600-4_2|10.1007/BF01518846|10.1007/BF02716097|10.1007/BFb0025266
